time,qm_f,wm_f,tm_f,qm_b,wm_b,tm_b,ue_f,ur_f,xp_f,vp_f,Fp_f,ue_b,ur_b,xp_b,vp_b,Fp_b,x,y,r,dx,dy,dr,ddx,ddy
0.0,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0015,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.002,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.003,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0035,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.004,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0045000000000000005,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.005,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0055,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.006,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.006500000000000001,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.007,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0075,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0085,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0095,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0105,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.011,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0115,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.012,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0125,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.013000000000000001,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0135,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.014,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.0145,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
0.015,-2.888724959875074,0.0,0.0,-0.25286769365683553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645018742725653,0.0,0.0,0.0,0.0,0.0,0.0
